[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1223035272.812000 10/3/2008, 2:01:12 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, TbMnO3 TF on LaAlO3
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Rectangular
INFO, COMMENT, Probe von Joost 7125
INFO, SEQUENCE FILE: RSO-0Field-2K-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1223037324.937,,5.914751e+004,1.999800e+000,-2.496778e-003,6.745142e-006,0.000000e+000,0.000000e+000,2,9.815975e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.269745e-004,0,,0,
1223037369.125,,5.914605e+004,2.000031e+000,-2.502975e-003,5.616891e-006,0.000000e+000,0.000000e+000,2,9.819741e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.470016e-004,0,,0,
1223037406.312,,5.796426e+004,1.999831e+000,-2.442340e-003,7.105531e-006,0.000000e+000,0.000000e+000,2,9.825096e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.670288e-004,0,,0,
1223037443.000,,5.678102e+004,1.999748e+000,-2.377056e-003,5.038195e-006,0.000000e+000,0.000000e+000,2,9.818208e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.490448e-004,0,,0,
1223037479.437,,5.559633e+004,1.999857e+000,-2.322502e-003,1.333981e-005,0.000000e+000,0.000000e+000,2,9.821707e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.470016e-004,0,,0,
1223037515.640,,5.441309e+004,1.999928e+000,-2.250613e-003,4.009384e-006,0.000000e+000,0.000000e+000,2,9.829724e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.709793e-004,0,,0,
1223037550.828,,5.323130e+004,1.999779e+000,-2.193099e-003,1.674728e-005,0.000000e+000,0.000000e+000,2,9.816593e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.029968e-004,0,,0,
1223037586.296,,5.204806e+004,1.999975e+000,-2.125902e-003,5.777740e-006,0.000000e+000,0.000000e+000,2,9.826585e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.709793e-004,0,,0,
1223037619.984,,5.086628e+004,1.999965e+000,-2.057632e-003,5.964108e-006,0.000000e+000,0.000000e+000,2,9.825302e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,4.100800e-005,0,,0,
1223037653.421,,4.968157e+004,1.999882e+000,-1.999440e-003,4.843430e-006,0.000000e+000,0.000000e+000,2,9.826496e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.260208e-004,0,,0,
