[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1222958089.968000 10/2/2008, 4:34:49 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, TbMnO3 TF on LaAlO3
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Rectangular
INFO, COMMENT, Probe von Joost 7125
INFO, SEQUENCE FILE: RSO-0Field-2K-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1222967259.500,,1.000000e+002,4.005120e+001,-2.903832e-006,8.286537e-009,-8.039805e-003,4.795864e-003,3,9.002399e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.286118e-002,0,,0,
1222967508.562,,1.000000e+002,4.107601e+001,-2.897374e-006,1.061617e-008,-5.874302e-003,1.528886e-003,3,8.975421e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.340485e-001,0,,0,
1222967745.843,,1.000000e+002,4.206630e+001,-2.914708e-006,9.799510e-009,-6.851610e-003,1.552765e-003,3,9.025251e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.301117e-001,0,,0,
1222967979.171,,1.000000e+002,4.305187e+001,-2.901053e-006,7.855185e-009,-4.641752e-003,1.007126e-003,3,9.002368e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.535980e-002,0,,0,
1222968227.781,,1.000000e+002,4.406661e+001,-2.886369e-006,1.334952e-008,-7.297723e-004,1.358629e-003,3,9.010126e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.307297e-001,0,,0,
1222968463.812,,1.000000e+002,4.505110e+001,-2.851125e-006,7.718024e-009,4.648754e-004,1.831534e-003,3,9.016628e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.136703e-001,0,,0,
1222968701.281,,1.000000e+002,4.605959e+001,-2.826559e-006,8.690848e-009,2.272645e-003,3.997120e-003,3,9.014645e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.836960e-002,0,,0,
1222968940.343,,1.000000e+002,4.705298e+001,-2.815791e-006,7.005724e-009,3.499095e-003,2.908623e-003,3,9.015876e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.862900e-002,0,,0,
1222969189.343,,1.000000e+002,4.806830e+001,-2.818422e-006,8.408295e-009,4.983374e-003,1.077615e-004,3,9.044154e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.280403e-001,0,,0,
1222969421.984,,1.000000e+002,4.905861e+001,-2.833916e-006,3.530899e-009,4.467929e-003,2.666730e-003,3,9.033280e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.049309e-001,0,,0,
1222969660.046,,1.000000e+002,5.005198e+001,-2.856371e-006,5.766498e-009,4.203195e-003,3.662813e-003,3,9.012194e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.436035e-002,0,,0,
1222969901.578,,1.000000e+002,5.105759e+001,-2.876718e-006,2.394918e-009,4.723123e-003,3.504719e-003,3,9.049510e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,8.554077e-002,0,,0,
1222970143.218,,1.000000e+002,5.205651e+001,-2.903585e-006,8.409514e-009,5.414448e-003,2.690219e-003,3,9.048497e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.194992e-001,0,,0,
1222970378.796,,1.000000e+002,5.304559e+001,-2.919935e-006,7.173107e-009,1.421737e-003,2.361001e-003,3,9.046230e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,8.722687e-002,0,,0,
1222970622.562,,1.000000e+002,5.406735e+001,-2.952814e-006,1.927671e-008,3.028218e-003,2.023286e-003,3,9.048069e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.178925e-002,0,,0,
1222970858.703,,1.000000e+002,5.504607e+001,-2.974888e-006,4.715871e-009,7.595262e-004,3.006073e-003,3,9.031241e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.004974e-002,0,,0,
1222971104.390,,1.000000e+002,5.607091e+001,-2.978969e-006,6.798166e-009,-4.474461e-004,2.290096e-003,3,9.043337e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.202507e-001,0,,0,
1222971346.093,,1.000000e+002,5.706081e+001,-2.992506e-006,6.028562e-009,2.596898e-003,2.204088e-003,3,9.023809e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.140900e-001,0,,0,
1222971585.718,,1.000000e+002,5.807256e+001,-2.994847e-006,9.924332e-009,3.177414e-004,8.978457e-004,3,9.044652e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.124992e-001,0,,0,
1222971824.312,,1.000000e+002,5.906516e+001,-3.009758e-006,6.947983e-009,4.024298e-004,4.716433e-004,3,9.033912e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.835052e-002,0,,0,
1222972062.031,,1.000000e+002,6.005983e+001,-3.027274e-006,5.302382e-009,2.762646e-004,4.523278e-003,3,9.016130e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.402084e-002,0,,0,
1222972298.671,,1.000000e+002,6.105080e+001,-3.043409e-006,1.308267e-008,-7.638964e-004,1.421776e-003,3,9.015693e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,8.747101e-002,0,,0,
1222972546.140,,1.000000e+002,6.207557e+001,-3.051939e-006,8.681300e-009,-1.871186e-004,7.047202e-004,3,9.023777e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.149292e-001,0,,0,
